"August 31, 2024"
""
""
"$ 51,152"
"28,363"
""
"39,733"
"$ 119,248"
""
""
"$ 29,247"
"35,346"
""
"25,974"
"$ 90,567"
"$ 28,681"
"$ 14,824,483"
