"August 31,
2024"
""
""
"$ 5,004,469"
"5,396"
"13,664,847"
"2,183,069"
"20,857,781"
""
"120,260"
"334,664"
"1,521,119"
"2,757,396"
"21,120,179"
"862,140"
"4,147,496"
"2,904,031"
"1,307,297"
"35,074,582"
"$ 55,932,363"
""
""
"$ 946,229"
"2,743,807"
"5,174,923"
"7,050,833"
"719,084"
"726,202"
"1,615,049"
"18,976,127"
""
"78,628"
"641,091"
"1,815,867"
"428,845"
"1,514,869"
"2,369,490"
"939,198"
"7,787,988"
""
57
15
—
"2,614,608"
"14,710,857"
"(10,564,572)"
"23,082,423"
"(1,554,742)"
"28,288,646"
"879,602"
"29,168,248"
"$ 55,932,363"
