2024
""
"$ 7,419,197"
""
"2,168,038"
"1,941,590"
"(93,988)"
"(144,920)"
""
"(601,935)"
"(853,202)"
"46,512"
"28,401"
"(614,771)"
"114,076"
"(277,971)"
"9,131,027"
""
"(516,509)"
"(6,582,702)"
"28,721"
"8,672"
"(7,061,818)"
""
"1,418,131"
"(4,524,646)"
"1,599,033"
"(771,246)"
"(3,241,479)"
"(543,301)"
"(6,063,508)"
"(46,264)"
"(4,040,563)"
"9,045,032"
"$ 5,004,469"
""
"$ 37,182"
"$ 2,386,620"
