2024,,,
"Operating
Income
(GAAP)","Business
Optimization
(1)","Operating
Income
(Non-
GAAP)","Operating
Margin
(Non-
GAAP)"
"$ 4,952",$ 68,"$ 5,021",16 %
"2,804",249,"3,052",13
"1,840",122,"1,961",17
"$ 9,596",$ 438,"$ 10,034",15.5 %
