2024,,2024
$ 30.7,$ 30.3 1 % 2 %,47 %
22.8,22.3 2 —,35
11.3,11.5 (2) 7,17
$ 64.9,$ 64.1 1 % 2 %,100 %
$ 10.8,$ 11.5 (5) % (4) %,17 %
11.6,12.1 (4) (3),18
13.8,12.6 10 10,21
19.6,19.1 2 2,30
9.1,8.9 2 4,14
$ 64.9,$ 64.1 1 % 2 %,100 %
$ 33.2,$ 33.6 (1) % (1) %,51 %
31.7,30.5 4 5,49
$ 64.9,$ 64.1 1 % 2 %,100 %
