2024
""
"$ 64,896,464"
""
"43,734,147"
"6,846,714"
"4,281,316"
"438,440"
"55,300,617"
"9,595,847"
"272,256"
"(58,969)"
"(109,811)"
—
"9,699,323"
"2,280,126"
"7,419,197"
"(7,198)"
"(147,212)"
"$ 7,264,787"
""
"627,852,613"
"635,940,044"
""
$ 11.57
$ 11.44
$ 5.16
