"August 31,
2024",,"August 31,
2024"
"Non-U.S.
U.S. Plans Plans",,"U.S. and
Non-U.S.
Plans"
"$ 72,948 $ 310,100","$ 90,199 $ 324,500","$ (22,993)"
"— (17,326)","— (19,138)","4,143"
"$ 72,948 $ 292,774","$ 90,199 $ 305,362","$ (18,850)"
